English	Spanish
abortion	aborto
abrasion	abrasión
abscess	abceso
allergist	alergólogo
	alergóloga
allergy	alergia
ambulance	ambulancia
amnesia	amnesia
analgesic	analgésico
anaphylactic shock	shock anafiláctico
anemia	anemia
anesthesia	anestesia
anesthesiologist	anestesiólogo
	anestesióloga
	anestesista
aneurysm	aneurism
	aneurisma
angina	angina de pecho
antacid	antiácido
anti-depressant	antidepresivo
Anti-inflammatory	antiinflamatorio
antibiotic	antibiótico
antibodies	anticuerpos
anticoagulant	anticoagulante
antidote	antídoto
antihistamine	antihistamínico
antipyretic	antipirético
anus	ano
anxiety	ansiedad
aorta	aorta
appendectomy	apendectomía
appendicitis	apendicitis
arm	brazo
arm pit	axila
arrhythmia	arritmia
artery	arteria
arthritis	artritis
asthma	asma
