CDC English	CDC Spanish	NIH English	NIH Spanish
Count: 	39
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	English	Spanish
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	abortion	aborto
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	abrasion	abrasión
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	abscess	abceso
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	allergist	alergólogo
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	allergist	alergóloga
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	allergy	alergia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	ambulance	ambulancia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	amnesia	amnesia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	analgesic	analgésico
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anaphylactic shock	shock anafiláctico
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anemia	anemia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anesthesia	anestesia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anesthesiologist	anestesiólogo
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anesthesiologist	anestesióloga
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anesthesiologist	anestesista
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	aneurysm	aneurism
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	aneurysm	aneurisma
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	angina	angina de pecho
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antacid	antiácido
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anti-depressant	antidepresivo
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	Anti-inflammatory	antiinflamatorio
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antibiotic	antibiótico
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antibodies	anticuerpos
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anticoagulant	anticoagulante
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antidote	antídoto
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antihistamine	antihistamínico
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	antipyretic	antipirético
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anus	ano
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	anxiety	ansiedad
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	aorta	aorta
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	appendectomy	apendectomía
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	appendicitis	apendicitis
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	arm	brazo
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	arm pit	axila
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	arrhythmia	arritmia
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	artery	arteria
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	arthritis	artritis
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	asthma	asma
